user_id,age,gender,country,travel_style,budget,preferred_activities
u0,34,male,indonesia,"['Adventure', 'Nature']",medium,"['Hiking', 'Beach']"
u1,28,female,sweden,"['Culture', 'Relaxation']",high,"['Museums', 'Food Tour']"
u2,45,other,brazil,['Luxury'],high,"['Nightlife', 'Beach']"
u3,19,male,japan,"['Adventure', 'Culture']",low,"['Hiking', 'Museums']"
u4,52,female,canada,"['Relaxation', 'Nature']",medium,"['Beach', 'Hiking']"
u5,29,male,australia,['Adventure'],medium,"['Hiking', 'Skiing']"
u6,37,female,india,"['Culture', 'Luxury']",high,"['Museums', 'Food Tour']"
u7,41,other,france,['Relaxation'],low,['Beach']
u8,25,male,thailand,"['Adventure', 'Nature']",medium,"['Hiking', 'Nightlife']"
u9,33,female,south africa,['Culture'],low,"['Museums', 'Food Tour']"
u10,27,male,italy,"['Culture', 'Adventure']",medium,"['Museums', 'Hiking']"
u11,36,female,mexico,"['Beach', 'Relaxation']",high,"['Beach', 'Nightlife']"
u12,42,male,germany,"['Historical', 'Culture']",medium,"['Museums', 'Food Tour']"
u13,31,female,china,"['Luxury', 'City']",high,"['Nightlife', 'Museums']"
u14,23,other,spain,"['Adventure', 'Beach']",low,"['Hiking', 'Beach']"
u15,50,male,united kingdom,['Culture'],medium,"['Museums', 'Historical Sites']"
u16,29,female,argentina,"['Adventure', 'Nature']",low,"['Hiking', 'Camping']"
u17,38,male,russia,"['City', 'Luxury']",high,"['Nightlife', 'Food Tour']"
u18,26,female,new zealand,"['Nature', 'Adventure']",medium,"['Hiking', 'Skiing']"
u19,44,other,netherlands,"['Relaxation', 'Culture']",medium,"['Beach', 'Museums']"
u20,30,male,india,"['Adventure', 'Culture']",low,"['Hiking', 'Museums']"
u21,35,female,united states,"['Luxury', 'Beach']",high,"['Beach', 'Nightlife']"
u22,40,male,france,"['Culture', 'Historical']",medium,"['Museums', 'Historical Sites']"
u23,28,female,australia,"['Adventure', 'Nature']",medium,"['Hiking', 'Beach']"
u24,47,other,canada,['Relaxation'],low,"['Beach', 'Spa']"
u25,32,male,japan,"['Culture', 'City']",high,"['Museums', 'Nightlife']"
u26,29,female,thailand,"['Beach', 'Adventure']",medium,"['Beach', 'Hiking']"
u27,41,male,brazil,"['Luxury', 'City']",high,"['Nightlife', 'Food Tour']"
u28,33,female,south africa,"['Nature', 'Culture']",low,"['Hiking', 'Museums']"
u29,26,male,sweden,"['Adventure', 'Relaxation']",medium,"['Skiing', 'Beach']"
u30,39,female,italy,"['Culture', 'Luxury']",high,"['Museums', 'Food Tour']"
u31,45,male,mexico,"['Beach', 'Adventure']",medium,"['Beach', 'Hiking']"
u32,27,other,germany,"['Historical', 'Culture']",low,"['Museums', 'Historical Sites']"
u33,34,female,china,"['City', 'Luxury']",high,"['Nightlife', 'Shopping']"
u34,31,male,spain,"['Adventure', 'Beach']",medium,"['Hiking', 'Beach']"
u35,50,female,united kingdom,"['Culture', 'Relaxation']",medium,"['Museums', 'Spa']"
u36,28,male,argentina,"['Adventure', 'Nature']",low,"['Hiking', 'Camping']"
u37,42,female,russia,"['City', 'Luxury']",high,"['Nightlife', 'Food Tour']"
u38,29,male,new zealand,"['Nature', 'Adventure']",medium,"['Hiking', 'Skiing']"
u39,36,female,netherlands,"['Relaxation', 'Culture']",medium,"['Beach', 'Museums']"
u40,33,male,india,"['Adventure', 'Culture']",low,"['Hiking', 'Museums']"
u41,38,female,united states,"['Luxury', 'Beach']",high,"['Beach', 'Nightlife']"
u42,44,male,france,"['Culture', 'Historical']",medium,"['Museums', 'Historical Sites']"
u43,27,female,australia,"['Adventure', 'Nature']",medium,"['Hiking', 'Beach']"
u44,46,other,canada,['Relaxation'],low,"['Beach', 'Spa']"
u45,31,male,japan,"['Culture', 'City']",high,"['Museums', 'Nightlife']"
u46,28,female,thailand,"['Beach', 'Adventure']",medium,"['Beach', 'Hiking']"
u47,40,male,brazil,"['Luxury', 'City']",high,"['Nightlife', 'Food Tour']"
u48,34,female,south africa,"['Nature', 'Culture']",low,"['Hiking', 'Museums']"
u49,25,male,sweden,"['Adventure', 'Relaxation']",medium,"['Skiing', 'Beach']"
u50,39,female,italy,"['Culture', 'Luxury']",high,"['Museums', 'Food Tour']"
u51,44,male,mexico,"['Beach', 'Adventure']",medium,"['Beach', 'Hiking']"
u52,26,other,germany,"['Historical', 'Culture']",low,"['Museums', 'Historical Sites']"
u53,35,female,china,"['City', 'Luxury']",high,"['Nightlife', 'Shopping']"
u54,30,male,spain,"['Adventure', 'Beach']",medium,"['Hiking', 'Beach']"
u55,49,female,united kingdom,"['Culture', 'Relaxation']",medium,"['Museums', 'Spa']"
u56,27,male,argentina,"['Adventure', 'Nature']",low,"['Hiking', 'Camping']"
u57,43,female,russia,"['City', 'Luxury']",high,"['Nightlife', 'Food Tour']"
u58,28,male,new zealand,"['Nature', 'Adventure']",medium,"['Hiking', 'Skiing']"
u59,37,female,netherlands,"['Relaxation', 'Culture']",medium,"['Beach', 'Museums']"
u60,32,male,india,"['Adventure', 'Culture']",low,"['Hiking', 'Museums']"
u61,39,female,united states,"['Luxury', 'Beach']",high,"['Beach', 'Nightlife']"
