user_id,place_id,rating
u0,p1,4.0
u0,p3,3.0
u0,p5,5.0
u0,p7,4.0
u0,p9,3.0
u0,p12,4.0
u0,p15,5.0
u0,p18,3.0
u0,p21,4.0
u0,p25,5.0
u1,p0,5.0
u1,p6,4.0
u1,p10,3.0
u1,p13,4.0
u1,p16,5.0
u1,p20,4.0
u1,p22,3.0
u1,p24,4.0
u1,p27,3.0
u1,p30,5.0
u2,p2,4.0
u2,p7,3.0
u2,p14,5.0
u2,p19,4.0
u2,p23,3.0
u2,p26,4.0
u2,p28,5.0
u2,p31,3.0
u2,p34,4.0
u2,p36,5.0
u3,p4,2.0
u3,p8,4.0
u3,p11,5.0
u3,p15,3.0
u3,p17,4.0
u3,p20,5.0
u3,p25,3.0
u3,p29,4.0
u3,p32,5.0
u3,p35,3.0
u4,p9,5.0
u4,p0,3.0
u4,p12,4.0
u4,p16,5.0
u4,p18,3.0
u4,p21,4.0
u4,p24,5.0
u4,p27,3.0
u4,p30,4.0
u4,p33,5.0
u5,p1,4.0
u5,p5,5.0
u5,p10,3.0
u5,p13,4.0
u5,p17,5.0
u5,p19,3.0
u5,p22,4.0
u5,p26,5.0
u5,p28,3.0
u5,p31,4.0
u6,p3,3.0
u6,p7,4.0
u6,p11,5.0
u6,p14,3.0
u6,p16,4.0
u6,p20,5.0
u6,p23,3.0
u6,p25,4.0
u6,p29,5.0
u6,p32,3.0
u7,p2,2.0
u7,p8,5.0
u7,p12,4.0
u7,p15,3.0
u7,p18,4.0
u7,p21,5.0
u7,p24,3.0
u7,p27,4.0
u7,p30,5.0
u7,p34,3.0
u8,p4,4.0
u8,p9,3.0
u8,p11,5.0
u8,p13,4.0
u8,p16,3.0
u8,p20,4.0
u8,p22,5.0
u8,p25,3.0
u8,p28,4.0
u8,p31,5.0
u9,p0,5.0
u9,p6,4.0
u9,p10,3.0
u9,p14,4.0
u9,p17,5.0
u9,p19,3.0
u9,p23,4.0
u9,p26,5.0
u9,p29,3.0
u9,p32,4.0
u10,p1,4.0
u10,p5,5.0
u10,p12,3.0
u10,p15,4.0
u10,p18,5.0
u10,p21,3.0
u10,p24,4.0
u10,p27,5.0
u10,p30,3.0
u10,p33,4.0
u11,p2,5.0
u11,p7,4.0
u11,p11,3.0
u11,p13,4.0
u11,p16,5.0
u11,p20,3.0
u11,p22,4.0
u11,p25,5.0
u11,p28,3.0
u11,p31,4.0
u12,p0,4.0
u12,p6,5.0
u12,p10,3.0
u12,p14,4.0
u12,p17,5.0
u12,p19,3.0
u12,p23,4.0
u12,p26,5.0
u12,p29,3.0
u12,p32,4.0
u13,p1,5.0
u13,p5,4.0
u13,p12,3.0
u13,p15,4.0
u13,p18,5.0
u13,p21,3.0
u13,p24,4.0
u13,p27,5.0
u13,p30,3.0
u13,p33,4.0
u14,p2,4.0
u14,p7,5.0
u14,p11,3.0
u14,p13,4.0
u14,p16,5.0
u14,p20,3.0
u14,p22,4.0
u14,p25,5.0
u14,p28,3.0
u14,p31,4.0
u15,p0,5.0
u15,p6,4.0
u15,p10,3.0
u15,p14,4.0
u15,p17,5.0
u15,p19,3.0
u15,p23,4.0
u15,p26,5.0
u15,p29,3.0
u15,p32,4.0
u16,p1,4.0
u16,p5,5.0
u16,p12,3.0
u16,p15,4.0
u16,p18,5.0
u16,p21,3.0
u16,p24,4.0
u16,p27,5.0
u16,p30,3.0
u16,p33,4.0
u17,p2,5.0
u17,p7,4.0
u17,p11,3.0
u17,p13,4.0
u17,p16,5.0
u17,p20,3.0
u17,p22,4.0
u17,p25,5.0
u17,p28,3.0
u17,p31,4.0
u18,p0,4.0
u18,p6,5.0
u18,p10,3.0
u18,p14,4.0
u18,p17,5.0
u18,p19,3.0
u18,p23,4.0
u18,p26,5.0
u18,p29,3.0
u18,p32,4.0
u19,p1,5.0
u19,p5,4.0
u19,p12,3.0
u19,p15,4.0
u19,p18,5.0
u19,p21,3.0
u19,p24,4.0
u19,p27,5.0
u19,p30,3.0
u19,p33,4.0
u20,p2,4.0
u20,p7,5.0
u20,p11,3.0
u20,p13,4.0
u20,p16,5.0
u20,p20,3.0
u20,p22,4.0
u20,p25,5.0
u20,p28,3.0
u20,p31,4.0
u21,p0,5.0
u21,p6,4.0
u21,p10,3.0
u21,p14,4.0
u21,p17,5.0
u21,p19,3.0
u21,p23,4.0
u21,p26,5.0
u21,p29,3.0
u21,p32,4.0
u22,p1,4.0
u22,p5,5.0
u22,p12,3.0
u22,p15,4.0
u22,p18,5.0
u22,p21,3.0
u22,p24,4.0
u22,p27,5.0
u22,p30,3.0
u22,p33,4.0
u23,p2,5.0
u23,p7,4.0
u23,p11,3.0
u23,p13,4.0
u23,p16,5.0
u23,p20,3.0
u23,p22,4.0
u23,p25,5.0
u23,p28,3.0
u23,p31,4.0
u24,p0,4.0
u24,p6,5.0
u24,p10,3.0
u24,p14,4.0
u24,p17,5.0
u24,p19,3.0
u24,p23,4.0
u24,p26,5.0
u24,p29,3.0
u24,p32,4.0
u25,p1,5.0
u25,p5,4.0
u25,p12,3.0
u25,p15,4.0
u25,p18,5.0
u25,p21,3.0
u25,p24,4.0
u25,p27,5.0
u25,p30,3.0
u25,p33,4.0
u26,p2,4.0
u26,p7,5.0
u26,p11,3.0
u26,p13,4.0
u26,p16,5.0
u26,p20,3.0
u26,p22,4.0
u26,p25,5.0
u26,p28,3.0
u26,p31,4.0
u27,p0,5.0
u27,p6,4.0
u27,p10,3.0
u27,p14,4.0
u27,p17,5.0
u27,p19,3.0
u27,p23,4.0
u27,p26,5.0
u27,p29,3.0
u27,p32,4.0
u28,p1,4.0
u28,p5,5.0
u28,p12,3.0
u28,p15,4.0
u28,p18,5.0
u28,p21,3.0
u28,p24,4.0
u28,p27,5.0
u28,p30,3.0
u28,p33,4.0
u29,p2,5.0
u29,p7,4.0
u29,p11,3.0
u29,p13,4.0
u29,p16,5.0
u29,p20,3.0
u29,p22,4.0
u29,p25,5.0
u29,p28,3.0
u29,p31,4.0
u30,p0,4.0
u30,p6,5.0
u30,p10,3.0
u30,p14,4.0
u30,p17,5.0
u30,p19,3.0
u30,p23,4.0
u30,p26,5.0
u30,p29,3.0
u30,p32,4.0
u31,p1,5.0
u31,p5,4.0
u31,p12,3.0
u31,p15,4.0
u31,p18,5.0
u31,p21,3.0
u31,p24,4.0
u31,p27,5.0
u31,p30,3.0
u31,p33,4.0
u32,p2,4.0
u32,p7,5.0
u32,p11,3.0
u32,p13,4.0
u32,p16,5.0
u32,p20,3.0
u32,p22,4.0
u32,p25,5.0
u32,p28,3.0
u32,p31,4.0
u33,p0,5.0
u33,p6,4.0
u33,p10,3.0
u33,p14,4.0
u33,p17,5.0
u33,p19,3.0
u33,p23,4.0
u33,p26,5.0
u33,p29,3.0
u33,p32,4.0
u34,p1,4.0
u34,p5,5.0
u34,p12,3.0
u34,p15,4.0
u34,p18,5.0
u34,p21,3.0
u34,p24,4.0
u34,p27,5.0
u34,p30,3.0
u34,p33,4.0
u35,p2,5.0
u35,p7,4.0
u35,p11,3.0
u35,p13,4.0
u35,p16,5.0
u35,p20,3.0
u35,p22,4.0
u35,p25,5.0
u35,p28,3.0
u35,p31,4.0
u36,p0,4.0
u36,p6,5.0
u36,p10,3.0
u36,p14,4.0
u36,p17,5.0
u36,p19,3.0
u36,p23,4.0
u36,p26,5.0
u36,p29,3.0
u36,p32,4.0
u37,p1,5.0
u37,p5,4.0
u37,p12,3.0
u37,p15,4.0
u37,p18,5.0
u37,p21,3.0
u37,p24,4.0
u37,p27,5.0
u37,p30,3.0
u37,p33,4.0
u38,p2,4.0
u38,p7,5.0
u38,p11,3.0
u38,p13,4.0
u38,p16,5.0
u38,p20,3.0
u38,p22,4.0
u38,p25,5.0
u38,p29,3.0
u38,p32,4.0
u39,p0,5.0
u39,p6,4.0
u39,p10,3.0
u39,p14,4.0
u39,p17,5.0
u39,p19,3.0
u39,p23,4.0
u39,p26,5.0
u39,p29,3.0
u39,p32,4.0
u40,p1,4.0
u40,p5,5.0
u40,p12,3.0
u40,p15,4.0
u40,p18,5.0
u40,p21,3.0
u40,p24,4.0
u40,p27,5.0
u40,p30,3.0
u40,p33,4.0
u41,p2,5.0
u41,p7,4.0
u41,p11,3.0
u41,p13,4.0
u41,p16,5.0
u41,p20,3.0
u41,p22,4.0
u41,p25,5.0
