name,place_id,country,region,tags,latitude,longitude,average_cost,description,popularity_score
agra,p0,india,asia,"['Historical', 'Culture']",27.1767,78.0081,65.3,Home of the majestic Taj Mahal.,8.0
amsterdam,p1,netherlands,europe,"['City', 'Culture']",52.3676,4.9041,140.5,Canals and vibrant cultural scene.,8.1
angkor wat,p2,cambodia,asia,"['Historical', 'Culture']",13.4125,103.867,80.5,Ancient temples with intricate carvings.,8.7
antelope canyon,p3,united states,americas,"['Nature', 'Adventure']",36.8619,-111.3743,110.3,Stunning slot canyons for photography.,8.4
athens,p4,greece,europe,"['Historical', 'Culture']",37.9838,23.7275,100.7,Ancient ruins and Mediterranean vibes.,8.0
auckland,p5,new zealand,oceania,"['City', 'Nature']",-36.8485,174.7633,120.7,Harbor city with volcanic landscapes.,8.0
bali,p6,indonesia,asia,"['Beach', 'Relaxation']",-8.3405,115.092,70.65,Tropical paradise with rice terraces.,7.9
banff,p7,canada,americas,"['Nature', 'Adventure']",51.1784,-115.5708,140.2,Rocky Mountain beauty with skiing.,8.6
bangkok,p8,thailand,asia,"['City', 'Adventure']",13.7563,100.5018,80.25,Vibrant street markets and temples.,7.8
barcelona,p9,spain,europe,"['Beach', 'Culture']",41.3851,2.1734,125.3,Artistic city with Gaudi architecture.,8.4
beijing,p10,china,asia,"['Culture', 'Historical']",39.9042,116.4074,90.3,Forbidden City and Great Wall access.,8.2
bora bora,p11,french polynesia,oceania,"['Beach', 'Luxury']",-16.5004,-151.7415,200.9,Crystal lagoons and overwater bungalows.,9.1
bruges,p12,belgium,europe,"['Culture', 'Historical']",51.2093,3.2247,120.3,Medieval town with picturesque canals.,8.2
budapest,p13,hungary,europe,"['City', 'Culture']",47.4979,19.0402,105.2,Thermal baths and grand architecture.,8.0
cairo,p14,egypt,africa,"['Historical', 'Culture']",30.0444,31.2357,75.4,Ancient pyramids and bustling markets.,7.6
cancun,p15,mexico,americas,"['Beach', 'Relaxation']",21.1619,-86.8515,95.6,Turquoise beaches and vibrant nightlife.,7.7
cape cod,p16,united states,americas,"['Beach', 'Relaxation']",41.6688,-70.2962,130.4,Charming beaches and seaside towns.,7.8
cape town,p17,south africa,africa,"['Nature', 'Adventure']",-33.9249,18.4241,90.3,Stunning views and Table Mountain.,7.5
cape verde,p18,cape verde,africa,"['Beach', 'Relaxation']",16.5388,-23.0418,85.6,Tropical islands with vibrant culture.,7.6
cartagena,p19,colombia,americas,"['Culture', 'Beach']",10.391,-75.4794,95.6,Colonial charm with Caribbean vibes.,7.9
chiang mai,p20,thailand,asia,"['Culture', 'Nature']",18.7883,98.9853,70.2,Temples and mountains in serene setting.,7.7
chicago,p21,united states,americas,"['City', 'Culture']",41.8781,-87.6298,140.5,Skyscrapers and deep-dish pizza.,8.1
copenhagen,p22,denmark,europe,"['City', 'Culture']",55.6761,12.5683,145.5,Colorful waterfront and historic charm.,8.3
cusco,p23,peru,americas,"['Adventure', 'Historical']",-13.532,-71.9675,85.7,Inca heritage and Andean culture.,8.2
delhi,p24,india,asia,"['Culture', 'Historical']",28.7041,77.1025,70.2,Bustling capital with historic sites.,7.7
dubai,p25,united arab emirates,asia,"['Luxury', 'City']",25.2048,55.2708,180.9,Skyscrapers and luxury shopping.,8.6
